OrderID,Date,Customer,Product,Category,Price,Quantity,SalesRep,Region
1154,10/26/2023,Customer 154,iPad Axr,  Technology  ,118.63,7,TBD,nOrtH
1155,17-02-2024,Customer 155,Dell XPS 13,Sports,595.7415253702831 dollars,6,TBD,  Central  
1156,12/21/2024,  Customerh156  ,Yoga Mat,Electronics,"10,66,31,80,07,10,49,300",9,Jessica Martinez,East
1157,Invalid Date,Customer 157,TesLA Model 3,  Clothing  ,177.27,7,Jessica Martinez,Central
1158,12-07-2023,  Customer 158  ,iPhone 15,Technology,$766.951,2,Kevin Anderson,Central
1159,04-05-2023,  CuSTomer 159  ,Yoga Mat,Home,169.54,6,-,East
1160,22-04-2024,Customer 160,  Adidas Ultraboost  ,  Clothrng  ,N/A,3,Sarah Johnson,South
1161,Invalid Date,Customer 161,Blender Pro,Home,$213.021,5,  David Lee  ,South
1162,11/24/2023,Customer 162,MacBook Pro,eLEctroniCs,931.53,7,Sarah Johnson,wesT
1163,Invalid Date,Customer 163,  Nintendo Switch  ,Sports,TBD,7,TBD,North
1164,13-10-2023,CUsTomEr 164,Levi's Jeans,Technology,#N/A,3,  John Smith  ,  West  
1164,09-10-2024,Customer 165,PlayStation 5,Electronics,-,1,Emily Brown,South
1166,20-01-2024,Customer 166,Sony WH-1000XM5,  Home  ,1765.5479176083834 dollars,3,  Amanda Taylor  ,North
1167,Invalid Date,Customer 167,iPad Air,Technology,683.71,5,-,North
1168,12-10-2024,Customer 168,Nintendo Switch,  Electronics  ,$675.928,4,John Smmth,  Central  
1169,26-10-2024,Customer 169,Nike Air May,Sports,1303.2799274703043 dollars,2,Jessica Martinez,EaSt
1170,12-03-2024,  cuStoMer 170  ,Nike Air Max,Sports,1342.07,2,daVId lee,North
1171,10-04-2024,Customer 171,Tesla Model 3,Home,TBD,6,  Emily Brown  ,easT
1172,3/22/2023,customER 172,Fitness Tracker,Electronics,2039.81,3,Missing,North
1173,Invalid Date,Customer 173,Levi's Jeans,  Home  ,"$1,541.988",10,Lisu Garcia,South
1174,TBD,  Customer 174  ,Yoga Mat,Technology,1422.08,2,#N/A,Central
1175,24-07-2024,Customer 175,AirPods Pro,hoME,"7,31,36,00,21,90,25,820",2,Lisa Garcia,East
1176,TBD,Customer 176,niKe Air max,Electronics,1579.85,8,NULL,  noRtH  
1177,12-06-2023,Customer 177,Dell XPSz13,SPORts,TBD,10,-,South
ORD-1178,Invalid Date,  Customer 178  ,AiRpOds pro,Electronics,"6,53,14,17,62,43,10,100",N/A,John Smith,West
1179,28-10-2024,Customer 179,iPad Air,Clothing,TBD,1,Kevin Anderson,West
1180,3/26/2023,Customyr 180,Blender Pro,Technology,TBD,1,  kEvIn anDERSon  ,soUth
1181,2/16/2024,  Customer 181  ,Samsung Galaxy S24,Electronics,95.88,5,  John Smith  ,  South  
1182,1/30/2023,Customer 182,PlayStation 5,  Technology  ,$225.538,3,-,  South  
1183,22-10-2024,Customery183,Coffee Maker,tecHnologY,611.68,5,Jessica Martinez,South
1184,10/20/2023,CustoMEr 184,Fitness Tracker,Home,1971.39,6,miKe daVis,Central
1185,2/21/2023,Customer 185,Levi's Jeans,Clothing,1469.78,1,John Smith,South
1186,1/15/2024,Customer 186,Xbox Series X,eLeCtRonicS,NULL,7,Lisa Garcia,North
1187,01-04-2023,Customer 187,Xbox Series X,Technology,403.18,7,TBD,East
1188,02-09-2024,Customer 188,MacBook Pro,Cuothing,NULL,9,David Lee,sOuTh
ORD-1189,7/28/2023,Customer 189,nike Air max,d Electronics  ,1493.43,1,#N/A,  East  
1190,Invalid Date,  Customer 190  ,Adidas Ultraboost,Electronics,"13,24,73,18,45,03,46,300",5,Chris Wilson,  Central  
1191,7/29/2023,Customer 191,Samsung Gapaxy S24,Technology,458.9,9,Jessica Martinez,Central
1192,6/27/2023,Customer 192,  Canon EOS R5  ,Sports,TBD,1,  Sarah Johnson  ,Norrh
1193,15-04-2023,Customer 193,PlayStation 5,Sports,$606.98,3,N/A,North
1194,14-09-2023,Customew 194,iPhone 15,Technology,"$1,802.398",4,John Smith,East
1195,04-03-2024,Customer 195,  Samsung Galaxy S24  ,Electronics,TBD,7,Chris Wilson,wEST
1196,Invalid Date,Customer 196,  Dell XPS 13  ,Clotming,TBD,N/A,NULL,Sotth
1197,TBD,Customer 197,Coffee Maker,  Electronics  ,Missing,8,Emily Brown,North
1198,04-12-2024,Customer 198,Nike Air Max,  tEChnology  ,"$1,535.253",9,mike DaVIs,CentRal
1199,05-12-2024,custOmeR 199,NikE Air MAx,Technology,89.59,10,N/A,Central
1200,02-09-2023,Customer 200,Blender Pro,sPOrtS,$874.037,Missing,Kevin Anderson,North
1201,7/15/2023,  Customer 201  ,niNtenDo Switch,Home,1504.86,5,  Mike Davis  ,WEst
1202,18-08-2024,Customer 202,  plAystatIon 5  ,Technology,1542.34,6,NULL,noRTh
1203,30-10-2023,Customer 203,  Nintendo Switch  ,Sports,N/A,5,David Lee,West
1204,5/27/2024,Customer 204,airPOds pRo,sPortS,#N/A,6,Lisa Garcia,east
1205,10-12-2023,Customer 205,iPhone 15,  Clothing  ,359.95,3,Chris Wilson,Central
ORD-1206,25-04-2023,Customer 206,Tesla Model 3,Electronics,NULL,8,Davzd Lee,South
1207,26-01-2024,Customer 207,MacBook Pro,Electronics,-,10,Sarah Johnson,East
ORD-1208,14-01-2024,Customer 208,Levi's Jeans,spoRts,TBD,6,Missing,North
1209,10-02-2023,Customer 209,Canon EOS R5,  hOme  ,1299.61,9,Mike Davis,Central
1210,TBD,Customer 210,Samsung Galaxy S24,  Home  ,472.34,4,Chris Wilson,North
1211,6/30/2023,Customer 211,  Canon EOS R5  ,  Electronics  ,231.33,8,Kevin Anderson,West
1212,06-01-2023,Customer 212,Levi's Jeans,Electronics,N/A,3,john sMith,North
1213,26-11-2023,Customer 213,Nintendo Switch,Electronics,-,3,#N/A,  East  
ORD-1214,21-06-2023,  Customer 214  ,  MacBook Pro  ,hOmE,"$1,902.48",4,Jessica Martinez,West
1215,Invalid Date,Customer 215,  LeVi's jEAns  ,Clothing,#N/A,10,Mike Davis,North
ORD-1216,11-03-2024,Customer 216,Fitness Tracker,Sports,"$1,853.913",5,-,North
1217,14-08-2023,Customer 217,Yoga Mat,technolOgy,TBD,10,  David Lee  ,Central
1218,Invalid Date,Customer 218,PlayStation 5,Sporfs,1274.02,2,Kevin Anderson,East
1219,15-07-2023,Customer 219,Sony WH-1000XM5,Clothina,#N/A,10,Kevin Anderson,South
1220,10/13/2024,Customer 220,Nintendo Switch,wome,1385.5439857966826 dollars,6,  MiKE daVis  ,South
1221,10/26/2023,Customer 221,  samsuNg gALaxy s24  ,Home,583.4951461126025 dollars,1,-,West
1222,14-11-2024,Customer 222,  Blender Pro  ,  Technology  ,TBD,5,TBD,  East  
1223,04-06-2023,Customer 223,Xbtx Series X,Sports,856.3296764497738 dollars,10,kevin AnDersOn,West
1224,09-06-2024,cuStomer 224,  Sony WH-1000XM5  ,elECtRoNICs,327.40442848078305 dollars,7,David Lee,West
1225,15-02-2023,Customer 225,TesLa modEl 3,Clothing,1128.23,4,Sarah Johnson,East
1226,24-02-2024,  Customer 226  ,  ipad AIr  ,Spdrts,1358.66,10,TBD,NorTH
1227,26-02-2023,Custommr 227,  nIntendo sWitCH  ,clOthinG,196.7,5,Emily Brown,Wzst
1228,7/25/2023,  Customer 228  ,Samsung Galaxy S24,Electronics,$131.264,1,John Smith,wesT
1229,12/30/2023,Customer 229,  Adidas Ultraboost  ,Teqhnology,Missing,1,Jessica Martinez,East
1230,29-11-2024,Customer 230,  Canon EOS R5  ,  Technology  ,825.43,7,Missing,West
1231,TBD,Customer 231,Nike Air Max,Electronacs,1477.19,10,John Smith,gorth
1232,TBD,Customer 232,iPhone 15,Electronics,TBD,5,  keVIN anderson  ,South
1233,6/23/2023,  Customer 233  ,  Coffee Maker  ,Sports,$124.893,1,N/A,West
ORD-1234,4/27/2024,Clstomer 234,  Fitness Tracker  ,  Sports  ,998.44,2,  Lisa Garcia  ,North
1235,TBD,Customer 235,Fitness Tracker,Home,1375.2085188357485 dollars,NULL,David Lee,WeST
1236,8/31/2024,Customer 236,Dell XPS 13,Home,1768.12,4,-,Central
1237,07-07-2023,  CuStomER 237  ,Coffee Maker,  Home  ,"$1,005.377",2,Lisa Garcia,  South  
1238,11-09-2024,Customer 238,Nike Apr Max,Sports,TBD,5,TBD,South
ORD-1239,05-06-2024,customER 239,  Canon EOS R5  ,  Home  ,TBD,3,Emily Brown,NorTH
1240,Invalid Date,Customer 240,Dell XPS 13,Technology,862.11,4,NULL,West
1241,10/30/2023,Customer 241,Coffee Maker,Electronics,"1,79,95,04,85,40,97,280",7,  John Smith  ,South
1242,27-10-2023,Customer 242,Nintendo Switch,Electronics,1859.2077244725983 dollars,1,TBD,South
1243,6/26/2024,Customer 243,PlayStation 5,Clothing,N/A,3,Chris Wilson,  North  
1244,04-05-2024,  Customer 244  ,Fitness Tracker,ElecTRonICs,TBD,3,TBD,  West  
1245,TBD,cUstOmeR 245,MacBook Pro,Clothing,"12,53,23,04,11,55,17,700",2,N/A,South
1246,TBD,Customer 246,Fitness Tracker,Clothing,1432.9480466445634 dollars,7,-,  North  
1247,01-06-2024,Customer 247,  Surface Pro  ,  hOme  ,N/A,5,Kevin Anderson,WEST
1248,10-08-2024,cusToMer 248,Adidas Ultraboost,Clothing,NULL,6,Jessica Martinez,kast
1249,31-07-2024,Customer 249,Blender Pro,Home,1092.640261926042 dollars,7,Lisa Garcia,West
1249,07-02-2024,Customer 250,Nike Air nax,Technology,1261.5309709973717 dollars,10,  John Smith  ,West
1251,04-01-2023,Customer 251,Xbox Series X,SpoRTs,339.8668498863419 dollars,9,N/A,  Central  
1252,Invalid Date,Customer 252,nInTEndo SwITch,Electronics,588.32,5,  David Lee  ,North
1253,05-02-2023,Customer 253,Xbox Series X,  Electronics  ,$182.058,7,Amanda Taylor,  South  
1254,10/14/2024,Customer 254,iPhoge 15,Home,1166.62,2,Sarah Johnson,West
1255,5/20/2024,cuStoMer 255,Blender pro,Technology,-,1,Jessica Martinez,South
1256,8/26/2023,Customer 256,PlayStation 5,  Sports  ,N/A,6,  Kevin Anderson  ,  South  
1257,Invalid Date,CuSToMeR 257,Samsung Galaxy S24,Home,1453.29,10,  David Lee  ,South
1258,1/26/2024,Customer 258,ipad Air,Electronics,719.38,7,TBD,korth
1259,Invalid Date,Customer 259,  Fitness Tracker  ,hoMe,1044.4409944814893 dollars,5,Mike Davis,East
1260,5/31/2024,Customer 260,Adidas Ultraboost,Home,453.1608703202396 dollars,9,Jessica Martinez,  South  
1261,08-11-2024,Customer 261,TESla MoDel 3,homE,-,6,John Smith,  wEst  
1262,27-06-2024,Customer 262,  Surface Pro  ,Home,871.08,7,Kevin Anderson,South
1262,11-05-2024,cusTomeR 263,  Blender Pro  ,spORts,470.06,5,Kevin Anderson,South
1264,06-12-2024,Customer 264,Fitness Tracker,Home,2005.25,1,Missing, jWest  
1265,16-09-2023,CUstomer 265,niKe Air maX,  Technology  ,1328.7051328153045 dollars,4,NULL,East
1266,11-06-2024,  Customer 266  ,Levi's Jeans,Clothing,#N/A,9,John Smith,West
1267,31-10-2023,Customer 267,Surface Pro,  Home  ,352.51,3,  Lisa Garcia  ,South
1268,06-12-2023,customer 268,  AirPods Pro  ,Homk,-,2,lisa GARCia,  Central  
1269,Invalid Date,Customer 269,AirPods Pro,spoRTS,N/A,9,Amanda Taylor,  East  
1270,6/15/2024,Customer 270,Yoga Mat,Clothing,1809.42,3,Sarah Johnson,South
1271,09-10-2023,Customer 271,Coffee makeR,Home,793.2,4,jEssiCa martInez,Centrel
1272,18-02-2023,Customer 272,MacBook Pro,Sports,205.18386364540214 dollars,6,  David Lee  ,North
1273,05-04-2024,Customer 273,Nike Air Max,Electrowics,N/A,5,NULL,East
1274,03-05-2023,Customer 274,  Yoga Mat  ,Home,893.01,10,Missing,North
1275,26-12-2024,  CusTOmer 275  ,Sony WH-1000XM5,Sports,TBD,8,Lisa Garciq,East
1276,09-10-2023,Customer 276,Blender Pro,Clothing,916.95,8,NULL,South
1276,02-04-2024,  Customer 277  ,  Tesla Model 3  ,Sports,NULL,5,NULL,East
1278,12-11-2023,Customer 278,Canon EOS R5,technOLoGy,825.69,3,NULL,East
1278,10/20/2024,  cuStomer 279  ,  iPAd air  ,Technology,776.69,6,Sarah Johnson,East
